condition,weight,volume,description,id
3,2,2,"Excellent condition red Bella 900-W microwave. 0.9 cu.ft., 15.4” x 19.1” x 11.5”. Has a 10.5” turntable and a range of different heating settings. The red color and chrome finish really brightens up any space!",230
3,1,1,Excellent condition Soda Stream Fizzi! Comes with one bottle and a CO2 cartridge that’s already full. We don’t refill the CO2 cartridge if you use it up during the rental but it can be refilled easily at local stores like University Hardware for ~$15. Works by locking the bottle into the nozzle and then holding the button down until you hear 3 puffing sounds.,231
3,1,1,"Excellent convection toaster oven that can fit 4 slices of bread at once, can be used to bake, broil, toast, and keep food warm, has a 30 minute timer, and includes a rack and small pan. Dimensions are 11.6” x 16.9” x 9”. Caution should be taken to keep other items away from the toaster oven’s surface when powered on. Works great!",232
3,2,2,"A perfect size mini-fridge with a small freezer compartment inside for any student or as a drink fridge for an apartment! A small scratch on the door, but overall clean and in great working condition.",233
3,1,1,Excellent condition surge protector with a 2ft cord and 6 outlet sockets. Works great and will protect your electronics in the event of a power surge.,234
3,1,1,Fellowes brand power strip with six outlets. Works as intended and has a 2-ft cord. Would recommend!,235
3,1,1,"Great condition Columbia Masters graduation cap and gown. Note that this gown has the extra fins attached to the sleeves and is different than undergraduate gowns. Steamed and clean, ready to go for grad photos or any other temporary needs you may have!",236
3,2,2,Awesome slim oscillating tower fan with 3 speed settings and timer. Has a couple scratches but works great and can keep a decent size room cool! Dims: 11.8 x 11.8 x 38.9 in.,237
3,1,2,Like new!,238
3,2,2,"Like new James Stewart Calculus: Early Transcendentals, 8th edition",239
3,3,3,"3"" Twin (74"" x 38"") mattress topper with cover and netting included, in a large cardboard box (17+ lbs)",240
2,3,2,"A microwave and fridge I used for college! Both are still in pretty good shape, but are used. The fridge has a little freezer you can use to freeze ice. Price is negotiable- just want it out by May!",241
3,2,2,"Awesome condition 40” 1080p LED HD Samsung Smart TV. Comes with the remote that lets you sign into various streaming apps like Netflix, Amazon Video, etc.. Though not the latest model, it has all the standard features and will get the job done! Dims: 36.3” x 2.8” x 20.9”. Screen refresh rate: 60 Hz. Model #: UN40J520DAF. ENERGY STAR certified.",242
3,2,2,1.7 cu. ft mini fridge in great condition! Has a small interior freezer compartment that keeps extra cold. An excellent addition to any dorm or apartment. Dims: 19.5” x 17.5” x 19.1” (We deliver and will bring a moving cart with us!),243
3,1,2,"Awesome condition Samsung 32” flat screen TV . Has 2 HDMI ports, 1 USB port, and comes with a remote. It's not a smart TV but we also have Fire Smart TV sticks available for rent that can be plugged in to access Smart TV functions. Works and looks great with a 60 hz refresh rate. Dims: 29.2” x 17.2” x 3.1”",244
3,2,2,"Large 48” HD 1080p Smart TV. This is an awesome tv that has built-in Roku smart tv functionality, 3 HDMI ports, a USB port and comes with a remote. Definitely would recommend for any entertainment need!",245
3,2,2,"Awesome 2.5 cu ft. mini fridge that is a perfect size for dorm or apartment living! It has a little internal freezer compartment that keeps food extra cold, two main shelves and additional racks on the door. The top surface of the fridge has some scratches and buffs but besides that it’s in excellent condition! Dims: 17.5"" x 18.5"" x 26.6""",246
3,2,3,Awesome condition 3.2 cu ft two door mini fridge. This fridge has a separate freezer compartment and is a solid unit that can definitely serve any mini-fridge/freezer needs! Dims: 20.1” x 19.1” x 33.5” We’ll also have a moving cart with us when we deliver to help move it.,247
3,2,2,"Great condition 2.4 cu. ft mini fridge! It has two interior wire shelves, two door racks, and a small interior freezer compartment that can keep food extra cold. This mini-fridge has a couple of small dents on the back side but is otherwise in great condition. Dims: 20.1” x 17.5” x 24.8 in.",248
3,2,2,Solid 4.4 cu. ft Premium-brand mini fridge. This fridge has a large amount of interior space - enough for about 3 bags of groceries - and a small internal freezer compartment that can keep food extra cold. It’s ENERGYSTAR rated and has two wire shelves and door racks. The top outside surface has some scratches but it doesn’t doesn’t affect the functionality of the mini-fridge. Would recommend! Dims: 33.8” x 19.72” x 21.3”,249
2,3,2,Large solid-condition mini fridge! Has several shelves and door rack space along with a small interior freezer compartment. Has some slight wear and tear but is still a great mini-fridge that will keep your food cold. Dims: 32.3” x 20.5” x 22.3”. (We'll also have a cart with us when we deliver  that you can use to help move it!),250
3,1,2,"Tall standing floor lamp with three adjustable lamp heads. The silver color and the three bulbs brighten any room! Dims: 64” tall, 10” base. Come with lightbulbs installed!",251
3,1,1,Slim oscillating tower fan with three speed settings and automatic shut-off timer. Awesome fan that does a solid job at keeping air flowing in a large room. Has a couple scratches but works great! Dims: 32” tall with a 7” wide base.,252
3,2,2,"Awesome condition Westinghouse brand microwave. This is a 700W, 0.7 cu. ft microwave that is a perfect size for all your standard microwave needs! Dims: 10.3” x 17.8” x 14”.",253
3,2,2,"Great condition Rival-brand microwave. This is a 0.7 cu. ft., 700W microwave that’s easy to use. Has a range of cooking settings, timer modes, and a digital clock display. Would recommend!",254
3,2,2,"An Oster electric stove in near perfect condition: - Has only been used five times upon its purchase in January 2021 - Rapidly reaches and effectively maintains the desired temperature (low, medium, or high)",255
3,1,1,Hamilton Beach kettle in near perfect condition: - Used only 10 times upon its purchase in December 2020 - Guaranteed to boil 1 liter of water within 5 minutes  - Contains detachable water filter,256
3,1,1,"Awesome Vornado fan that can keep air moving in a medium sized room. It’s quite, with a 13” tiltable fan head. Would recommend as a great way to stay cool!",257
3,2,2,"Gray and black slim tower fan. This fan is 40” tall and has 3 fan speeds, timer, and oscillating settings. It has a few scratches but it’s very quiet and does a great job at keeping air flowing in a medium sized room!",258
3,2,2,Excellent condition Lasko 37” tall tower fan. This oscillating tower fan comes with a remote and has 3 speed settings and a timer feature. It has a slim profile and does a great job at moving air around a large room! It has some slight scratches but works really well.,259
3,1,1,Great condition Brentwood toaster! Easy to use controls with multiple browning levels and a cool-touch exterior. It’s a perfect size and doesn’t take up too much space!,260
3,1,1,Awesome Hamilton Beach toaster with a reflective chrome finish that looks great! This toaster has easy to use controls and can fit 2 slices at a time. The compact size also means it doesn’t take up too much room on the counter.,261
3,2,2,Excellent condition IKEA-brand swivel desk chair. It’s lightweight making it easy to move and it’s comfy too! The desk chair has arm rests and has a min seat highly of 17.75” and a max seat height of 22.5”.,262
2,3,2,"Solid condition 5000 BTU LG air conditioner. The AC works great for small rooms/bed rooms about 150 sq. ft. and does a decent job at keeping larger sized rooms comfortable too. Includes the window panels. Though it’s not the newest or fanciest AC out there and doesn’t have a remote it functions well. Voltage: 115V, Input: 440W, Amps: 4.1A. Pet free/smoke free. We’ll also bring a cart with us at drop off to make it easier to move! Min dimensions: 14.4"" W x 17.9"" L x 11.2"" H. Weighs ~40lbs.",263
2,2,2,"Great condition bike! This bike size would be best for anyone 5’2”-5.7” Specialized-Rockhopper brand. It has 21-speed Shimano shifters, an adjustable seat, mountain bike tires, and a kickstand. The frame is aluminum and is relatively light making it easy enough to carry up stairs or onto the subway. To prevent against bike theft, we require for the rented bike to be stored either indoors or in a secured bike locker/court yard. The bike will also come with one U-lock and we require that a secondary lock to be used to secure the front tire whenever parked in places open to the public. Feel free to use your own lock or or browse the locks available on Hubbub! We also have some other bike add-ons (locks, helmets, pumps) that can be seen here!: https://www.hubbub.shop/inventory.search=bike",264
2,2,2,"Awesome gold-series Gary Fisher mountain bike! This bike size would be best for anyone 5’3”-5.8” It has 21-speed Shimano shifters, an adjustable seat, mountain bike tires, and a kickstand. The frame is aluminum and is relatively light making it easy enough to carry up stairs or onto the subway. The seat is also quite comfortable! To prevent against bike theft, we require for the rented bike to be stored either indoors or in a secured bike locker/court yard. The bike will also come with one U-lock and we require that a secondary lock to be used to secure the front tire whenever parked in places open to the public. Feel free to use your own lock or or browse the locks available on Hubbub! We also have some other bike add-ons (locks, helmets, pumps) that can be seen here!: https://www.hubbub.shop/inventory.search=bike",265
3,1,1,Wire cord bike lock that makes it easy to wrap around a bike frame and secure the front tire of a bike. This type a lock makes a great secondary lock as it is not as strong as a hardened steal U-lock.   All of Hubbub bikes will come with one of the steal U-locks and this wire lock can be rented as a secondary lock.,266
3,1,1,"Solid hand bike pump! This type of pump is compact and can fit easily in a backpack. Hand pumps are great for filling up mountain bike tires but may be a bit difficult to use in filling up road bike tires as those tend to require higher pressures. This pump doesn’t come with a needle that would be needed to fill up basket balls, soccer balls, etc.",267
3,1,1,Great condition bike helmet! This is a Bell brand helmet that’s sturdy and can be adjusted to the proper tightness.,268
3,1,1,"Awesome, new condition Fire TV Stick comes + remote. Allows you to convert a regular television that has an HDMI port to a Smart TV that can access apps like Netflix, Hulu, Youtube, Disney+, HBO, Prime Video, etc.",269
3,1,1,"Excellent condition Acer 21” monitor! 1920 x 1080 resolution, with HDMI & VGA ports. The color range and resolution allows for a crisp display that is perfect for any work and school needs.",270
2,1,1,"Betty Crocker two-speed hand blender with pulse action and 400-watts of peak power is ideal for a variety of blending tasks. Blend creamy soups and sauces right in the pot or prepare a smoothie in the bonus 600 ml mixing beaker. It chops, purees, minces, and blends; it is perfect for whenever you want to avoid the hassle of transferring ingredients to a regular blender. The two-speed selections and pulse control let you adjust the settings to the task.",271
3,2,1,‎11.57 x 4.65 x 5.51 inches,272
